Name,LastLogonDate,DistinguishedName
JUV-2075,6/3/2022 15:36,"CN=JUV-2075,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2100,11/21/2021 5:52,"CN=JUV-2100,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2104,3/21/2022 9:37,"CN=JUV-2104,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-2108,3/14/2022 13:45,"CN=JUV-2108,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-3203,2/17/2022 14:25,"CN=JUV-3203,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-ADM-L2073,6/15/2020 8:10,"CN=JUV-ADM-L2073,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-GRNDVW,8/2/2021 9:07,"CN=JUV-GRNDVW,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-L,7/8/2022 21:41,"CN=JUV-L,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-L-BCKUP1,3/23/2022 16:00,"CN=JUV-L-BCKUP1,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-L-BKUP2,7/11/2022 11:28,"CN=JUV-L-BKUP2,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-MENT-2115,3/16/2022 9:42,"CN=JUV-MENT-2115,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-SPARE-2,10/29/2020 9:19,"CN=JUV-SPARE-2,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-SURF-SPARE,9/14/2020 9:04,"CN=JUV-SURF-SPARE,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JUV-TRACKER,12/6/2020 8:02,"CN=JUV-TRACKER,OU=Win7,OU=Computers,OU=Juvenile Court,DC=co,DC=yakima,DC=wa,DC=us"
JWPADOC,5/12/2022 14:57,"CN=JWPADOC,OU=Add SA Admins,OU=Domain Servers,DC=co,DC=yakima,DC=wa,DC=us"
MAIN-2968,1/21/2022 13:25,"CN=MAIN-2968,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
MAIN-HVAC-B,1/10/2022 1:41,"CN=MAIN-HVAC-B,OU=Computers,OU=Facilities,DC=co,DC=yakima,DC=wa,DC=us"
MBTEST-2,4/23/2021 16:03,"CN=MBTEST-2,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
MBTEST-3,4/23/2021 16:03,"CN=MBTEST-3,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
MBTEST-4,4/23/2021 16:03,"CN=MBTEST-4,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
MININT-3E39NDK,8/24/2020 8:08,"CN=MININT-3E39NDK,OU=Disabled Computers,DC=co,DC=yakima,DC=wa,DC=us"
MININT-I4K6EQR,3/3/2022 14:56,"CN=MININT-I4K6EQR,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
NTKMS2,4/23/2020 23:27,"CN=NTKMS2,OU=Windows 7 and 10,OU=Computers,OU=Technology Services,DC=co,DC=yakima,DC=wa,DC=us"
NTVCOMPOSER,5/18/2022 11:27,"CN=NTVCOMPOSER,OU=Domain Servers,DC=co,DC=yakima,DC=wa,DC=us"
OEM-PAN-1,3/10/2020 13:22,"CN=OEM-PAN-1,OU=NoApplocker,OU=Computers,OU=Emergency Management,DC=co,DC=yakima,DC=wa,DC=us"
OEM-PAN-2,11/11/2019 14:19,"CN=OEM-PAN-2,OU=NoApplocker,OU=Computers,OU=Emergency Management,DC=co,DC=yakima,DC=wa,DC=us"
ONBASE-TEST,5/6/2022 9:00,"CN=ONBASE-TEST,CN=Computers,DC=co,DC=yakima,DC=wa,DC=us"
PA-DC-L1286,5/5/2022 2:16,"CN=PA-DC-L1286,OU=Computers,OU=Prosecutors,DC=co,DC=yakima,DC=wa,DC=us"
PA-LSPARE3,5/10/2022 13:19,"CN=PA-LSPARE3,OU=Computers,OU=Prosecutors,DC=co,DC=yakima,DC=wa,DC=us"
